STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USC00118324,"STREAMWOOD, IL US",2001-01-16,,0.00,0.0,6.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-17,,0.00,0.0,6.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-18,,0.00,0.0,6.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-19,,0.00,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-20,,0.00,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-21,,0.00,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-22,,0.00,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-23,,0.00,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-24,,0.00,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-25,,0.00,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-26,,0.00,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-27,,0.10,1.5,7.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-28,,0.00,0.0,7.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-29,,0.10,0.2,7.0,,,,,1,,1,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-30,,0.68,0.0,4.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-01-31,,0.23,0.1,4.0,,,,,,,1,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-01,,0.00,0.0,4.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-02,,0.00,0.2,4.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-03,,0.00,0.2,4.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-04,,0.03,0.5,5.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-05,,0.00,0.0,4.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-06,,0.00,0.1,4.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-07,,0.00,0.0,4.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-08,,0.15,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-09,,0.70,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-10,,0.00,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-11,,0.00,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-12,,0.00,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-13,,0.00,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-14,,0.03,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-15,,0.19,0.1,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-16,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-17,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-18,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-19,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-20,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-21,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-22,,0.02,0.3,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-23,,0.01,0.2,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-24,,0.13,0.1,0.0,,,,,,,1,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-25,,0.93,0.0,0.0,,,,,,,,,,,,1,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-26,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-27,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-02-28,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-01,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-02,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-03,,0.00,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-04,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-05,,0.00,0.1,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-06,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-07,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-08,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-09,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-10,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-11,,0.16,0.1,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-12,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-13,,0.23,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-14,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-15,,0.10,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-16,,0.37,0.8,1.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-17,,0.11,2.1,3.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-18,,0.00,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-19,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-20,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-21,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-22,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-23,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-24,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-25,,0.01,0.1,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-26,,0.00,0.3,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-27,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-28,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-29,,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-30,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-03-31,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-01,,0.13,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-02,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-03,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-04,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-05,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-06,,0.45,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-07,,0.15,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-08,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-09,,0.22,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-10,,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-11,,0.00,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-12,,0.46,0.0,0.0,,1,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-13,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-14,,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-15,,0.23,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-16,,0.17,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-17,,0.01,0.2,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-18,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-19,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-20,,0.18,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-21,,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-22,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-23,,0.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-24,,0.17,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-25,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-26,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-27,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-28,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-29,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-04-30,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-01,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-02,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-03,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-04,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-05,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-06,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-07,,0.64,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-08,,0.38,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-09,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-10,,0.08,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-11,,1.39,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-12,,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-13,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-14,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-15,,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-16,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-17,,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-18,,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-19,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-20,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-21,,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-22,,0.35,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-23,,0.10,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-24,,0.05,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-25,,0.01,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-26,,0.06,0.0,0.0,,1,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-27,,0.20,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-28,,0.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-29,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-30,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-05-31,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-01,,0.70,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-02,,0.41,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-03,,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-04,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-05,,0.13,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-06,,0.47,0.0,0.0,,1,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-07,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-08,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-09,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-10,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-11,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-12,,0.30,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-13,,0.16,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-14,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-15,,0.10,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-16,,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-17,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-18,,0.04,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-19,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-20,,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-21,,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-22,,0.14,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-23,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-24,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-25,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-26,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-27,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-28,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-29,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-06-30,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-01,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-02,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-03,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-04,,0.07,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-05,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-06,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-07,,0.33,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-08,,0.05,0.0,0.0,,1,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-09,,0.00,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-10,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-11,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-12,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-13,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-14,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-15,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-16,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-17,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-18,,0.31,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-19,,0.07,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-20,,0.00,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-21,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-22,,0.74,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-23,,0.13,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-24,,0.35,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-25,,0.63,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-26,,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-27,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-28,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-29,,0.00,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-30,,0.00,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-07-31,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-01,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-02,,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-03,,0.07,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-04,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-05,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-06,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-07,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-08,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-09,,0.00,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-10,,0.74,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-11,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-12,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-13,,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-14,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-15,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-16,,0.82,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-17,,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-18,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-19,,0.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-20,,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-21,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-22,,0.67,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-23,,1.07,0.0,0.0,,1,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-24,,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-25,,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-26,,0.89,0.0,0.0,,,,1,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-27,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-28,,0.44,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
USC00118324,"STREAMWOOD, IL US",2001-08-29,,0.00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
